Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 1.0
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 117/1000 | Energy: 5.3890e-04
Writing Frame 118/1000 | Energy: 6.5676e-04
Writing Frame 119/1000 | Energy: 8.0035e-04
Writing Frame 120/1000 | Energy: 9.7528e-04
Writing Frame 121/1000 | Energy: 1.1883e-03
Writing Frame 122/1000 | Energy: 1.4478e-03
Writing Frame 123/1000 | Energy: 1.7637e-03
Writing Frame 124/1000 | Energy: 2.1481e-03
Writing Frame 125/1000 | Energy: 2.6157e-03
Writing Frame 126/1000 | Energy: 3.1842e-03
Writing Frame 127/1000 | Energy: 3.8752e-03
Writing Frame 128/1000 | Energy: 4.7144e-03
Writing Frame 129/1000 | Energy: 5.7333e-03
Writing Frame 130/1000 | Energy: 6.9694e-03
Writing Frame 131/1000 | Energy: 8.4683e-03
Writing Frame 132/1000 | Energy: 1.0285e-02
Writing Frame 133/1000 | Energy: 1.2483e-02
Writing Frame 134/1000 | Energy: 1.5143e-02
Writing Frame 135/1000 | Energy: 1.8356e-02
Writing Frame 136/1000 | Energy: 2.2232e-02
Writing Frame 137/1000 | Energy: 2.6901e-02
Writing Frame 138/1000 | Energy: 3.2516e-02
Writing Frame 139/1000 | Energy: 3.9255e-02
Writing Frame 140/1000 | Energy: 4.7326e-02
Writing Frame 141/1000 | Energy: 5.6958e-02
Writing Frame 142/1000 | Energy: 6.8405e-02
Writing Frame 143/1000 | Energy: 8.1932e-02
Writing Frame 144/1000 | Energy: 9.7814e-02
Writing Frame 145/1000 | Energy: 1.1634e-01
Writing Frame 146/1000 | Energy: 1.3781e-01
Writing Frame 147/1000 | Energy: 1.6256e-01
Writing Frame 148/1000 | Energy: 1.9094e-01
Writing Frame 149/1000 | Energy: 2.2333e-01
Writing Frame 150/1000 | Energy: 2.6005e-01
Writing Frame 151/1000 | Energy: 3.0137e-01
Writing Frame 152/1000 | Energy: 3.4740e-01
Writing Frame 153/1000 | Energy: 3.9815e-01
Writing Frame 154/1000 | Energy: 4.5358e-01
Writing Frame 155/1000 | Energy: 5.1366e-01
Writing Frame 156/1000 | Energy: 5.7845e-01
Writing Frame 157/1000 | Energy: 6.4805e-01
Writing Frame 158/1000 | Energy: 7.2246e-01
Writing Frame 159/1000 | Energy: 8.0152e-01
Writing Frame 160/1000 | Energy: 8.8486e-01
Writing Frame 161/1000 | Energy: 9.7210e-01
Writing Frame 162/1000 | Energy: 1.0629e+00
Writing Frame 163/1000 | Energy: 1.1574e+00
Writing Frame 164/1000 | Energy: 1.2555e+00
Writing Frame 165/1000 | Energy: 1.3578e+00
Writing Frame 166/1000 | Energy: 1.4644e+00
Writing Frame 167/1000 | Energy: 1.5754e+00
Writing Frame 168/1000 | Energy: 1.6900e+00
Writing Frame 169/1000 | Energy: 1.8078e+00
Writing Frame 170/1000 | Energy: 1.9283e+00
Writing Frame 171/1000 | Energy: 2.0514e+00
Writing Frame 172/1000 | Energy: 2.1766e+00
Writing Frame 173/1000 | Energy: 2.3034e+00
Writing Frame 174/1000 | Energy: 2.4315e+00
Writing Frame 175/1000 | Energy: 2.5608e+00
Writing Frame 176/1000 | Energy: 2.6911e+00
Writing Frame 177/1000 | Energy: 2.8221e+00
Writing Frame 178/1000 | Energy: 2.9538e+00
Writing Frame 179/1000 | Energy: 3.0861e+00
Writing Frame 180/1000 | Energy: 3.2196e+00
Writing Frame 181/1000 | Energy: 3.3545e+00
Writing Frame 182/1000 | Energy: 3.4905e+00
Writing Frame 183/1000 | Energy: 3.6273e+00
Writing Frame 184/1000 | Energy: 3.7641e+00
Writing Frame 185/1000 | Energy: 3.9000e+00
Writing Frame 186/1000 | Energy: 4.0339e+00
Writing Frame 187/1000 | Energy: 4.1649e+00
Writing Frame 188/1000 | Energy: 4.2919e+00
Writing Frame 189/1000 | Energy: 4.4142e+00
Writing Frame 190/1000 | Energy: 4.5314e+00
Writing Frame 191/1000 | Energy: 4.6435e+00
Writing Frame 192/1000 | Energy: 4.7507e+00
Writing Frame 193/1000 | Energy: 4.8535e+00
Writing Frame 194/1000 | Energy: 4.9525e+00
Writing Frame 195/1000 | Energy: 5.0487e+00
Writing Frame 196/1000 | Energy: 5.1429e+00
Writing Frame 197/1000 | Energy: 5.2358e+00
Writing Frame 198/1000 | Energy: 5.3273e+00
Writing Frame 199/1000 | Energy: 5.4173e+00
Writing Frame 200/1000 | Energy: 5.5055e+00
Writing Frame 201/1000 | Energy: 5.5924e+00
Writing Frame 202/1000 | Energy: 5.6784e+00
Writing Frame 203/1000 | Energy: 5.7636e+00
Writing Frame 204/1000 | Energy: 5.8482e+00
Writing Frame 205/1000 | Energy: 5.9323e+00
Writing Frame 206/1000 | Energy: 6.0161e+00
Writing Frame 207/1000 | Energy: 6.0999e+00
Writing Frame 208/1000 | Energy: 6.1844e+00
Writing Frame 209/1000 | Energy: 6.2703e+00
Writing Frame 210/1000 | Energy: 6.3583e+00
Writing Frame 211/1000 | Energy: 6.4488e+00
Writing Frame 212/1000 | Energy: 6.5414e+00
Writing Frame 213/1000 | Energy: 6.6362e+00
Writing Frame 214/1000 | Energy: 6.7333e+00
Writing Frame 215/1000 | Energy: 6.8325e+00
Writing Frame 216/1000 | Energy: 6.9339e+00
Writing Frame 217/1000 | Energy: 7.0371e+00
Writing Frame 218/1000 | Energy: 7.1415e+00
Writing Frame 219/1000 | Energy: 7.2466e+00
Writing Frame 220/1000 | Energy: 7.3517e+00
Writing Frame 221/1000 | Energy: 7.4562e+00
Writing Frame 222/1000 | Energy: 7.5599e+00
Writing Frame 223/1000 | Energy: 7.6629e+00
Writing Frame 224/1000 | Energy: 7.7661e+00
Writing Frame 225/1000 | Energy: 7.8706e+00
Writing Frame 226/1000 | Energy: 7.9772e+00
Writing Frame 227/1000 | Energy: 8.0861e+00
Writing Frame 228/1000 | Energy: 8.1966e+00
Writing Frame 229/1000 | Energy: 8.3083e+00
Writing Frame 230/1000 | Energy: 8.4207e+00
Writing Frame 231/1000 | Energy: 8.5339e+00
Writing Frame 232/1000 | Energy: 8.6476e+00
Writing Frame 233/1000 | Energy: 8.7619e+00
Writing Frame 234/1000 | Energy: 8.8763e+00
Writing Frame 235/1000 | Energy: 8.9908e+00
