Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 0.22
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 117/1000 | Energy: 1.0175e+01
Writing Frame 118/1000 | Energy: 1.0892e+01
Writing Frame 119/1000 | Energy: 1.1630e+01
Writing Frame 120/1000 | Energy: 1.2388e+01
Writing Frame 121/1000 | Energy: 1.3160e+01
Writing Frame 122/1000 | Energy: 1.3937e+01
Writing Frame 123/1000 | Energy: 1.4702e+01
Writing Frame 124/1000 | Energy: 1.5440e+01
Writing Frame 125/1000 | Energy: 1.6152e+01
Writing Frame 126/1000 | Energy: 1.6846e+01
Writing Frame 127/1000 | Energy: 1.7527e+01
Writing Frame 128/1000 | Energy: 1.8199e+01
Writing Frame 129/1000 | Energy: 1.8866e+01
Writing Frame 130/1000 | Energy: 1.9527e+01
Writing Frame 131/1000 | Energy: 2.0173e+01
Writing Frame 132/1000 | Energy: 2.0791e+01
Writing Frame 133/1000 | Energy: 2.1378e+01
Writing Frame 134/1000 | Energy: 2.1938e+01
Writing Frame 135/1000 | Energy: 2.2485e+01
Writing Frame 136/1000 | Energy: 2.3021e+01
Writing Frame 137/1000 | Energy: 2.3551e+01
Writing Frame 138/1000 | Energy: 2.4080e+01
Writing Frame 139/1000 | Energy: 2.4607e+01
Writing Frame 140/1000 | Energy: 2.5130e+01
Writing Frame 141/1000 | Energy: 2.5650e+01
Writing Frame 142/1000 | Energy: 2.6173e+01
Writing Frame 143/1000 | Energy: 2.6700e+01
Writing Frame 144/1000 | Energy: 2.7222e+01
Writing Frame 145/1000 | Energy: 2.7732e+01
Writing Frame 146/1000 | Energy: 2.8229e+01
Writing Frame 147/1000 | Energy: 2.8721e+01
Writing Frame 148/1000 | Energy: 2.9213e+01
Writing Frame 149/1000 | Energy: 2.9710e+01
Writing Frame 150/1000 | Energy: 3.0205e+01
Writing Frame 151/1000 | Energy: 3.0689e+01
Writing Frame 152/1000 | Energy: 3.1157e+01
Writing Frame 153/1000 | Energy: 3.1609e+01
Writing Frame 154/1000 | Energy: 3.2043e+01
Writing Frame 155/1000 | Energy: 3.2464e+01
Writing Frame 156/1000 | Energy: 3.2888e+01
Writing Frame 157/1000 | Energy: 3.3317e+01
Writing Frame 158/1000 | Energy: 3.3746e+01
Writing Frame 159/1000 | Energy: 3.4169e+01
Writing Frame 160/1000 | Energy: 3.4582e+01
Writing Frame 161/1000 | Energy: 3.4988e+01
Writing Frame 162/1000 | Energy: 3.5394e+01
Writing Frame 163/1000 | Energy: 3.5804e+01
Writing Frame 164/1000 | Energy: 3.6222e+01
Writing Frame 165/1000 | Energy: 3.6650e+01
Writing Frame 166/1000 | Energy: 3.7088e+01
Writing Frame 167/1000 | Energy: 3.7528e+01
Writing Frame 168/1000 | Energy: 3.7952e+01
Writing Frame 169/1000 | Energy: 3.8351e+01
Writing Frame 170/1000 | Energy: 3.8724e+01
Writing Frame 171/1000 | Energy: 3.9078e+01
Writing Frame 172/1000 | Energy: 3.9420e+01
Writing Frame 173/1000 | Energy: 3.9756e+01
Writing Frame 174/1000 | Energy: 4.0090e+01
Writing Frame 175/1000 | Energy: 4.0427e+01
Writing Frame 176/1000 | Energy: 4.0771e+01
Writing Frame 177/1000 | Energy: 4.1120e+01
Writing Frame 178/1000 | Energy: 4.1472e+01
Writing Frame 179/1000 | Energy: 4.1828e+01
Writing Frame 180/1000 | Energy: 4.2197e+01
Writing Frame 181/1000 | Energy: 4.2586e+01
Writing Frame 182/1000 | Energy: 4.3000e+01
Writing Frame 183/1000 | Energy: 4.3448e+01
Writing Frame 184/1000 | Energy: 4.3920e+01
Writing Frame 185/1000 | Energy: 4.4404e+01
Writing Frame 186/1000 | Energy: 4.4897e+01
Writing Frame 187/1000 | Energy: 4.5392e+01
Writing Frame 188/1000 | Energy: 4.5883e+01
Writing Frame 189/1000 | Energy: 4.6368e+01
Writing Frame 190/1000 | Energy: 4.6858e+01
Writing Frame 191/1000 | Energy: 4.7361e+01
Writing Frame 192/1000 | Energy: 4.7883e+01
Writing Frame 193/1000 | Energy: 4.8421e+01
Writing Frame 194/1000 | Energy: 4.8969e+01
Writing Frame 195/1000 | Energy: 4.9526e+01
Writing Frame 196/1000 | Energy: 5.0098e+01
Writing Frame 197/1000 | Energy: 5.0693e+01
Writing Frame 198/1000 | Energy: 5.1313e+01
Writing Frame 199/1000 | Energy: 5.1957e+01
Writing Frame 200/1000 | Energy: 5.2627e+01
Writing Frame 201/1000 | Energy: 5.3325e+01
Writing Frame 202/1000 | Energy: 5.4052e+01
Writing Frame 203/1000 | Energy: 5.4798e+01
Writing Frame 204/1000 | Energy: 5.5556e+01
Writing Frame 205/1000 | Energy: 5.6317e+01
Writing Frame 206/1000 | Energy: 5.7070e+01
Writing Frame 207/1000 | Energy: 5.7813e+01
Writing Frame 208/1000 | Energy: 5.8548e+01
Writing Frame 209/1000 | Energy: 5.9285e+01
Writing Frame 210/1000 | Energy: 6.0022e+01
Writing Frame 211/1000 | Energy: 6.0752e+01
Writing Frame 212/1000 | Energy: 6.1472e+01
Writing Frame 213/1000 | Energy: 6.2183e+01
Writing Frame 214/1000 | Energy: 6.2885e+01
Writing Frame 215/1000 | Energy: 6.3581e+01
Writing Frame 216/1000 | Energy: 6.4271e+01
Writing Frame 217/1000 | Energy: 6.4952e+01
Writing Frame 218/1000 | Energy: 6.5625e+01
Writing Frame 219/1000 | Energy: 6.6295e+01
Writing Frame 220/1000 | Energy: 6.6955e+01
Writing Frame 221/1000 | Energy: 6.7589e+01
Writing Frame 222/1000 | Energy: 6.8191e+01
Writing Frame 223/1000 | Energy: 6.8769e+01
Writing Frame 224/1000 | Energy: 6.9344e+01
Writing Frame 225/1000 | Energy: 6.9938e+01
Writing Frame 226/1000 | Energy: 7.0560e+01
Writing Frame 227/1000 | Energy: 7.1214e+01
Writing Frame 228/1000 | Energy: 7.1902e+01
Writing Frame 229/1000 | Energy: 7.2621e+01
Writing Frame 230/1000 | Energy: 7.3362e+01
Writing Frame 231/1000 | Energy: 7.4112e+01
Writing Frame 232/1000 | Energy: 7.4864e+01
Writing Frame 233/1000 | Energy: 7.5631e+01
Writing Frame 234/1000 | Energy: 7.6430e+01
Writing Frame 235/1000 | Energy: 7.7270e+01
Writing Frame 236/1000 | Energy: 7.8147e+01
Writing Frame 237/1000 | Energy: 7.9060e+01
Writing Frame 238/1000 | Energy: 8.0001e+01
Writing Frame 239/1000 | Energy: 8.0951e+01
Writing Frame 240/1000 | Energy: 8.1892e+01
Writing Frame 241/1000 | Energy: 8.2818e+01
Writing Frame 242/1000 | Energy: 8.3735e+01
Writing Frame 243/1000 | Energy: 8.4662e+01
Writing Frame 244/1000 | Energy: 8.5614e+01
Writing Frame 245/1000 | Energy: 8.6593e+01
Writing Frame 246/1000 | Energy: 8.7590e+01
Writing Frame 247/1000 | Energy: 8.8595e+01
Writing Frame 248/1000 | Energy: 8.9604e+01
Writing Frame 249/1000 | Energy: 9.0603e+01
Writing Frame 250/1000 | Energy: 9.1579e+01
Writing Frame 251/1000 | Energy: 9.2521e+01
Writing Frame 252/1000 | Energy: 9.3423e+01
Writing Frame 253/1000 | Energy: 9.4292e+01
Writing Frame 254/1000 | Energy: 9.5140e+01
Writing Frame 255/1000 | Energy: 9.5983e+01
Writing Frame 256/1000 | Energy: 9.6832e+01
Writing Frame 257/1000 | Energy: 9.7687e+01
Writing Frame 258/1000 | Energy: 9.8547e+01
Writing Frame 259/1000 | Energy: 9.9419e+01
Writing Frame 260/1000 | Energy: 1.0030e+02
Writing Frame 261/1000 | Energy: 1.0118e+02
Writing Frame 262/1000 | Energy: 1.0205e+02
Writing Frame 263/1000 | Energy: 1.0290e+02
Writing Frame 264/1000 | Energy: 1.0373e+02
Writing Frame 265/1000 | Energy: 1.0453e+02
Writing Frame 266/1000 | Energy: 1.0534e+02
Writing Frame 267/1000 | Energy: 1.0614e+02
Writing Frame 268/1000 | Energy: 1.0697e+02
Writing Frame 269/1000 | Energy: 1.0782e+02
Writing Frame 270/1000 | Energy: 1.0869e+02
Writing Frame 271/1000 | Energy: 1.0960e+02
Writing Frame 272/1000 | Energy: 1.1053e+02
Writing Frame 273/1000 | Energy: 1.1146e+02
Writing Frame 274/1000 | Energy: 1.1239e+02
Writing Frame 275/1000 | Energy: 1.1332e+02
Writing Frame 276/1000 | Energy: 1.1425e+02
Writing Frame 277/1000 | Energy: 1.1518e+02
Writing Frame 278/1000 | Energy: 1.1611e+02
Writing Frame 279/1000 | Energy: 1.1701e+02
Writing Frame 280/1000 | Energy: 1.1791e+02
Writing Frame 281/1000 | Energy: 1.1881e+02
Writing Frame 282/1000 | Energy: 1.1971e+02
Writing Frame 283/1000 | Energy: 1.2063e+02
Writing Frame 284/1000 | Energy: 1.2157e+02
Writing Frame 285/1000 | Energy: 1.2254e+02
Writing Frame 286/1000 | Energy: 1.2355e+02
Writing Frame 287/1000 | Energy: 1.2456e+02
Writing Frame 288/1000 | Energy: 1.2555e+02
Writing Frame 289/1000 | Energy: 1.2653e+02
Writing Frame 290/1000 | Energy: 1.2749e+02
Writing Frame 291/1000 | Energy: 1.2844e+02
Writing Frame 292/1000 | Energy: 1.2938e+02
Writing Frame 293/1000 | Energy: 1.3031e+02
Writing Frame 294/1000 | Energy: 1.3124e+02
Writing Frame 295/1000 | Energy: 1.3216e+02
Writing Frame 296/1000 | Energy: 1.3309e+02
Writing Frame 297/1000 | Energy: 1.3400e+02
Writing Frame 298/1000 | Energy: 1.3491e+02
Writing Frame 299/1000 | Energy: 1.3582e+02
Writing Frame 300/1000 | Energy: 1.3675e+02
Writing Frame 301/1000 | Energy: 1.3770e+02
Writing Frame 302/1000 | Energy: 1.3869e+02
Writing Frame 303/1000 | Energy: 1.3969e+02
Writing Frame 304/1000 | Energy: 1.4069e+02
Writing Frame 305/1000 | Energy: 1.4168e+02
Writing Frame 306/1000 | Energy: 1.4266e+02
Writing Frame 307/1000 | Energy: 1.4362e+02
Writing Frame 308/1000 | Energy: 1.4459e+02
Writing Frame 309/1000 | Energy: 1.4556e+02
Writing Frame 310/1000 | Energy: 1.4657e+02
Writing Frame 311/1000 | Energy: 1.4761e+02
Writing Frame 312/1000 | Energy: 1.4870e+02
Writing Frame 313/1000 | Energy: 1.4984e+02
Writing Frame 314/1000 | Energy: 1.5103e+02
Writing Frame 315/1000 | Energy: 1.5226e+02
Writing Frame 316/1000 | Energy: 1.5348e+02
Writing Frame 317/1000 | Energy: 1.5468e+02
Writing Frame 318/1000 | Energy: 1.5587e+02
Writing Frame 319/1000 | Energy: 1.5706e+02
Writing Frame 320/1000 | Energy: 1.5823e+02
Writing Frame 321/1000 | Energy: 1.5940e+02
Writing Frame 322/1000 | Energy: 1.6058e+02
Writing Frame 323/1000 | Energy: 1.6177e+02
Writing Frame 324/1000 | Energy: 1.6299e+02
Writing Frame 325/1000 | Energy: 1.6424e+02
Writing Frame 326/1000 | Energy: 1.6550e+02
Writing Frame 327/1000 | Energy: 1.6675e+02
Writing Frame 328/1000 | Energy: 1.6799e+02
Writing Frame 329/1000 | Energy: 1.6920e+02
Writing Frame 330/1000 | Energy: 1.7040e+02
Writing Frame 331/1000 | Energy: 1.7160e+02
Writing Frame 332/1000 | Energy: 1.7277e+02
Writing Frame 333/1000 | Energy: 1.7392e+02
Writing Frame 334/1000 | Energy: 1.7508e+02
Writing Frame 335/1000 | Energy: 1.7629e+02
Writing Frame 336/1000 | Energy: 1.7755e+02
Writing Frame 337/1000 | Energy: 1.7883e+02
Writing Frame 338/1000 | Energy: 1.8014e+02
Writing Frame 339/1000 | Energy: 1.8146e+02
Writing Frame 340/1000 | Energy: 1.8282e+02
Writing Frame 341/1000 | Energy: 1.8421e+02
Writing Frame 342/1000 | Energy: 1.8561e+02
Writing Frame 343/1000 | Energy: 1.8699e+02
Writing Frame 344/1000 | Energy: 1.8839e+02
Writing Frame 345/1000 | Energy: 1.8980e+02
Writing Frame 346/1000 | Energy: 1.9124e+02
Writing Frame 347/1000 | Energy: 1.9267e+02
Writing Frame 348/1000 | Energy: 1.9411e+02
Writing Frame 349/1000 | Energy: 1.9556e+02
Writing Frame 350/1000 | Energy: 1.9705e+02
Writing Frame 351/1000 | Energy: 1.9855e+02
Writing Frame 352/1000 | Energy: 2.0001e+02
Writing Frame 353/1000 | Energy: 2.0141e+02
Writing Frame 354/1000 | Energy: 2.0276e+02
Writing Frame 355/1000 | Energy: 2.0408e+02
Writing Frame 356/1000 | Energy: 2.0541e+02
Writing Frame 357/1000 | Energy: 2.0674e+02
Writing Frame 358/1000 | Energy: 2.0807e+02
Writing Frame 359/1000 | Energy: 2.0940e+02
Writing Frame 360/1000 | Energy: 2.1075e+02
Writing Frame 361/1000 | Energy: 2.1215e+02
Writing Frame 362/1000 | Energy: 2.1362e+02
Writing Frame 363/1000 | Energy: 2.1516e+02
Writing Frame 364/1000 | Energy: 2.1674e+02
Writing Frame 365/1000 | Energy: 2.1833e+02
Writing Frame 366/1000 | Energy: 2.1991e+02
Writing Frame 367/1000 | Energy: 2.2147e+02
Writing Frame 368/1000 | Energy: 2.2299e+02
Writing Frame 369/1000 | Energy: 2.2445e+02
Writing Frame 370/1000 | Energy: 2.2584e+02
Writing Frame 371/1000 | Energy: 2.2718e+02
Writing Frame 372/1000 | Energy: 2.2849e+02
Writing Frame 373/1000 | Energy: 2.2974e+02
Writing Frame 374/1000 | Energy: 2.3092e+02
Writing Frame 375/1000 | Energy: 2.3205e+02
Writing Frame 376/1000 | Energy: 2.3315e+02
Writing Frame 377/1000 | Energy: 2.3425e+02
Writing Frame 378/1000 | Energy: 2.3533e+02
Writing Frame 379/1000 | Energy: 2.3636e+02
Writing Frame 380/1000 | Energy: 2.3734e+02
Writing Frame 381/1000 | Energy: 2.3828e+02
Writing Frame 382/1000 | Energy: 2.3920e+02
Writing Frame 383/1000 | Energy: 2.4013e+02
Writing Frame 384/1000 | Energy: 2.4106e+02
Writing Frame 385/1000 | Energy: 2.4200e+02
Writing Frame 386/1000 | Energy: 2.4294e+02
Writing Frame 387/1000 | Energy: 2.4389e+02
Writing Frame 388/1000 | Energy: 2.4486e+02
Writing Frame 389/1000 | Energy: 2.4585e+02
Writing Frame 390/1000 | Energy: 2.4684e+02
Writing Frame 391/1000 | Energy: 2.4784e+02
Writing Frame 392/1000 | Energy: 2.4885e+02
Writing Frame 393/1000 | Energy: 2.4987e+02
Writing Frame 394/1000 | Energy: 2.5092e+02
Writing Frame 395/1000 | Energy: 2.5203e+02
Writing Frame 396/1000 | Energy: 2.5320e+02
Writing Frame 397/1000 | Energy: 2.5437e+02
Writing Frame 398/1000 | Energy: 2.5551e+02
Writing Frame 399/1000 | Energy: 2.5660e+02
Writing Frame 400/1000 | Energy: 2.5768e+02
Writing Frame 401/1000 | Energy: 2.5876e+02
Writing Frame 402/1000 | Energy: 2.5986e+02
Writing Frame 403/1000 | Energy: 2.6096e+02
Writing Frame 404/1000 | Energy: 2.6204e+02
Writing Frame 405/1000 | Energy: 2.6311e+02
Writing Frame 406/1000 | Energy: 2.6418e+02
Writing Frame 407/1000 | Energy: 2.6526e+02
Writing Frame 408/1000 | Energy: 2.6635e+02
Writing Frame 409/1000 | Energy: 2.6745e+02
Writing Frame 410/1000 | Energy: 2.6853e+02
Writing Frame 411/1000 | Energy: 2.6961e+02
Writing Frame 412/1000 | Energy: 2.7067e+02
Writing Frame 413/1000 | Energy: 2.7171e+02
Writing Frame 414/1000 | Energy: 2.7272e+02
Writing Frame 415/1000 | Energy: 2.7374e+02
Writing Frame 416/1000 | Energy: 2.7478e+02
Writing Frame 417/1000 | Energy: 2.7586e+02
Writing Frame 418/1000 | Energy: 2.7697e+02
Writing Frame 419/1000 | Energy: 2.7809e+02
Writing Frame 420/1000 | Energy: 2.7924e+02
Writing Frame 421/1000 | Energy: 2.8043e+02
Writing Frame 422/1000 | Energy: 2.8165e+02
Writing Frame 423/1000 | Energy: 2.8284e+02
Writing Frame 424/1000 | Energy: 2.8401e+02
Writing Frame 425/1000 | Energy: 2.8515e+02
Writing Frame 426/1000 | Energy: 2.8626e+02
Writing Frame 427/1000 | Energy: 2.8733e+02
Writing Frame 428/1000 | Energy: 2.8834e+02
Writing Frame 429/1000 | Energy: 2.8932e+02
Writing Frame 430/1000 | Energy: 2.9030e+02
Writing Frame 431/1000 | Energy: 2.9129e+02
Writing Frame 432/1000 | Energy: 2.9232e+02
Writing Frame 433/1000 | Energy: 2.9337e+02
Writing Frame 434/1000 | Energy: 2.9443e+02
Writing Frame 435/1000 | Energy: 2.9547e+02
Writing Frame 436/1000 | Energy: 2.9647e+02
Writing Frame 437/1000 | Energy: 2.9745e+02
Writing Frame 438/1000 | Energy: 2.9841e+02
Writing Frame 439/1000 | Energy: 2.9937e+02
Writing Frame 440/1000 | Energy: 3.0034e+02
Writing Frame 441/1000 | Energy: 3.0133e+02
Writing Frame 442/1000 | Energy: 3.0233e+02
Writing Frame 443/1000 | Energy: 3.0334e+02
Writing Frame 444/1000 | Energy: 3.0436e+02
Writing Frame 445/1000 | Energy: 3.0537e+02
Writing Frame 446/1000 | Energy: 3.0639e+02
Writing Frame 447/1000 | Energy: 3.0742e+02
Writing Frame 448/1000 | Energy: 3.0845e+02
Writing Frame 449/1000 | Energy: 3.0950e+02
Writing Frame 450/1000 | Energy: 3.1055e+02
Writing Frame 451/1000 | Energy: 3.1161e+02
Writing Frame 452/1000 | Energy: 3.1269e+02
Writing Frame 453/1000 | Energy: 3.1384e+02
Writing Frame 454/1000 | Energy: 3.1505e+02
Writing Frame 455/1000 | Energy: 3.1631e+02
Writing Frame 456/1000 | Energy: 3.1760e+02
Writing Frame 457/1000 | Energy: 3.1889e+02
