baseline_alpha,alpha_minus,gamma_minus,alpha_plus,gamma_plus,delta_alpha_total,finite_difference_sensitivity,source_summary,raw_hdf5_available,verification_status
0.2,0.18,0.02776784,0.22,0.03121801,0.04,0.08625416,results/stage1/stage1_fd_summary.txt,false,supported by existing postprocessed summary; raw HDF5 unavailable during wrap-up
0.8,0.78,0.01744796,0.82,0.0170212,0.04,-0.01066905,results/stage1/stage1_fd_summary.txt,false,supported by existing postprocessed summary; raw HDF5 unavailable during wrap-up
